Annee,Suisses,Etrangers,Belgique,Allemagne,France,Royaume-Uni,Italie,Pays,Etats,Autres,Total
1934,6899,5372,164,1666,1130,855,311,454,222,570,12271
1935,6656,5378,125,2083,980,848,231,372,215,524,12034
1936,6290,4999,165,1242,1131,971,185,476,236,593,11289
1937,6717,7200,336,1194,1322,1954,233,900,365,896,13917
1938,6910,6771,328,1266,788,2033,281,928,298,849,13681
1939,6357,5142,232,1059,601,1355,260,792,199,644,11499
1940,6633,1344,35,359,187,173,114,105,74,297,7977
1941,7719,1153,22,330,171,135,112,74,53,256,8872
1942,8254,1133,21,284,198,120,126,104,38,242,9387
1943,9394,1055,26,195,196,104,148,93,36,257,10449
1944,10045,1161,27,182,219,97,276,73,31,256,11206
1945,12010,2348,51,151,308,103,203,72,1130,330,14358
1946,12498,4631,573,116,701,1075,216,255,950,745,17129
1947,12326,6963,791,138,916,2843,260,241,572,1202,19289
1948,11180,6712,926,244,1028,1880,366,405,565,1298,17892
1949,10108,6589,764,262,732,2201,393,395,643,1199,16697
1950,9227,5905,643,427,926,1344,469,338,682,1076,15132
1951,9439,7366,648,846,1102,1925,539,484,597,1225,16805
1952,9727,8367,753,1374,1312,1469,631,555,870,1403,18094
1953,9608,9422,764,1830,1448,1777,645,598,928,1432,19030
1954,9292,10097,697,2164,1606,1902,661,605,925,1537,19389
1955,9655,10982,730,2320,1859,2063,689,672,1087,1562,20637
1956,9986,11645,726,2576,2039,2069,751,731,1100,1653,21631
1957,10259,12713,788,2902,2286,2327,816,791,1082,1721,22972
1958,10080,12688,720,3262,1764,2299,831,739,1202,1871,22768
1959,10517,14311,802,3731,2191,2647,905,795,1294,1946,24828
1960,10775,15416,763,3868,2604,2889,969,788,1481,2054,26191
1961,11586,16899,874,4479,2863,2974,1107,901,1437,2264,28485
1962,12022,17598,951,4875,3039,2852,1139,925,1472,2345,29620
1963,11791,17308,929,4625,3169,2821,1157,882,1446,2279,29099
1964,12163,18203,1077,4702,3400,2753,1262,971,1574,2464,30366
1965,11559,17886,1117,4668,3255,2765,1128,984,1584,2385,29445
1966,11620,18380,1190,4743,3283,2765,1140,1050,1691,2518,30000
1967,11786,18500,1225,4730,3427,2324,1256,1065,1835,2638,30286
1968,12087,18561,1314,4819,3253,2067,1230,1123,1804,2951,30648
1969,12600,19314,1381,5045,2721,2037,1325,1182,2263,3360,31914
1970,12951,20963,1416,5650,2779,2305,1373,1228,2678,3534,33914
1971,13274,21364,1476,5906,2769,2171,1396,1227,2704,3715,34638
1972,13434,21722,1597,6240,2691,2120,1414,1238,2726,3696,35156
1973,13546,21163,1671,6289,2568,1916,1146,1182,2535,3856,34709
1974,13564,19430,1550,6263,2176,1275,963,1151,2102,3950,32994
1975,12916,18987,1505,6211,2100,1258,912,1167,1883,3951,31903
1976,12459,18047,1353,5717,2003,1080,724,1091,2184,3895,30506
1977,12910,19393,1350,6459,1943,970,752,1170,2545,4204,32303
1978,12975,18496,1315,6580,1690,1103,669,1294,1926,3919,31471
1979,13390,16924,1116,6016,1608,1074,684,1057,1436,3933,30314
1980,14168,19980,1269,7541,1783,1382,786,1257,1728,4234,34148
1981,14333,21186,1270,7646,1925,1795,878,1259,1760,4653,35519
1982,14005,19982,933,6635,1738,2007,866,1039,2072,4692,33987
1983,13745,19850,838,6457,1507,2056,842,943,2385,4822,33595
1984,13786,20178,840,6043,1612,1992,892,823,3063,4913,33964
1985,14013,20320,800,5998,1613,1970,913,801,3263,4962,34333
1986,14238,19561,825,6196,1695,2053,978,847,2079,4888,33799
1987,14327,19534,817,6187,1612,1851,1037,826,2332,4872,33861
1988,14323,19101,822,6224,1559,1805,1097,801,2039,4754,33424
1989,14803,20490,858,6493,1577,1959,1268,860,2224,5251,35293
1990,14739,21041,864,6416,1535,2061,1365,862,2511,5427,35780
1991,14957,20365,924,6961,1546,1886,1408,893,1577,5170,35322
1992,13998.063,20235.423,970.615,6838.618,1442.256,1882.208,1397.272,881.383,1889.289,4933.782,34233.486
1993,13461.443,19773.488,1013.782,7015.658,1393.253,1742.315,1082.9,900.228,1809.173,4816.179,33234.931
1994,13468.523,19669.057,959.873,7049.317,1325.875,1613.112,959.473,906.989,1850.735,5003.683,33137.58
1995,12855.614,18385.999,909.997,6584.924,1229.954,1371.738,758.835,804.353,1720.39,5005.808,31241.613
1996,12452.58,17283.41,874.408,6015.962,1132.065,1224.807,753.998,768.808,1621.741,4891.621,29735.99
1997,12793.402,18034.159,835.469,6229.07,1125.392,1457.588,843.732,804.3,1715.38,5023.228,30827.561
1998,13104.433,18712.055,823.483,6431.024,1129.755,1680.824,953.073,843.456,1904.04,4946.4,31816.488
1999,13565.033,18544.488,755.72,6283.095,1104.687,1805.221,940.929,837.327,1872.116,4945.393,32109.521
2000,14014.729,19915.43,795.965,6444.192,1235.586,1980.225,957.034,922.713,2172.218,5407.497,33930.159
2001,14312.542,19273.415,749.113,6277.683,1244.186,2031.842,947.932,903.705,1877.305,5241.649,33585.957
2002,14195.852,17767.58,714.826,5543.908,1166.268,1914.7,932.677,817.62,1586.92,5090.661,31963.432
2003,14236.087,16964.17,699.452,5301.798,1149.441,1872.531,958.484,787.239,1397.982,4797.243,31200.257
2005,14126.125,18290.251,775.002,5552.535,1224.21,2087.146,1007.418,828.252,1493.684,5322.004,32416.376
2006,14726.069,19609.999,766.648,5743.971,1267.895,2286.412,1053.078,870.357,1658.123,5963.515,34336.068
2007,14958.309,20879.823,797.047,6067.196,1364.967,2373.626,1129.296,946.493,1663.916,6537.282,35838.132
2008,15369.554,21468.214,826.018,6296.714,1437.047,2375.108,1153.583,1079.508,1517.548,6782.688,36837.768
2009,15047.986,20133.763,771.893,6016.493,1432.392,1935.404,1136.205,1025.213,1381.97,6434.193,35181.749
2010,15400.993,20414.039,739.048,5801.729,1447.976,1925.026,1072.929,988.684,1505.819,6932.828,35815.032
2011,15388.584,19706.189,675.765,5197.281,1393.061,1764.346,1003.55,846.432,1491.423,7334.331,35094.773
2012,15342.226,19046.7,617,4616,1317,1607,967,726,1524,7673,34388.926
2013,15549.402,19701.983,640.026,4562.526,1348.603,1707.653,977.045,708.863,1584.448,8172.819,35251.385
2014,15693.627,19871.86,622.434,4383.241,1336.27,1735.819,1009.837,680.209,1643.339,8460.711,35565.487
2015,15762.137,19546.117,563.458,3843.359,1253.183,1707.81,932.369,583.258,1738.033,8924.647,35308.254
2016,15971.514,19259.775,537.873,3694.642,1243.571,1702.484,915.93,583.533,1833.163,8749,35231.289
